pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,80,80,0.164172694743571,47,7.716116652947837,1,"[[40.0, 40.0], [52.28, 72.28]]","[[40.0, 52.28], [40.0, 72.28]]",72.28,72.28,72.28,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,25,25,0.9283159779414459,24,22.2795834705947,1,"[[12.5, 12.5], [-3.53, 2.72]]","[[12.5, -3.53], [12.5, 2.72]]",12.5,12.5,12.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,5,5,0.8858320309379963,36,31.889953113767866,1,"[[2.5, 2.5], [-28.14, -26.89]]","[[2.5, -28.14], [2.5, -26.89]]",2.5,2.5,2.5,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,25,25,0.5476917727219979,48,26.289205090655898,1,"[[12.5, 12.5], [-7.54, -1.29]]","[[12.5, -7.54], [12.5, -1.29]]",12.5,12.5,12.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,89,89,0.5639037966067705,48,27.06738223712498,1,"[[44.5, 44.5], [39.68, 61.93]]","[[44.5, 39.68], [44.5, 61.93]]",44.5,61.93,61.93,"[array([0., 1.]), array([0., 1.]), array([0.78, 0.22]), array([0.78, 0.22]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,17,17,0.2975525907887753,24,7.1412621789306066,1,"[[8.5, 8.5], [5.61, 9.86]]","[[8.5, 5.61], [8.5, 9.86]]",8.5,9.86,9.86,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.32, 0.68]), array([0.32, 0.68])]",3.0,Not_Unique,2
0.5,12,12,0.8388136371536348,20,16.776272743072695,1,"[[6.0, 6.0], [-7.78, -4.78]]","[[6.0, -7.78], [6.0, -4.78]]",6.0,6.0,6.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,26,26,0.6968742406039125,40,27.8749696241565,1,"[[13.0, 13.0], [-8.37, -1.87]]","[[13.0, -8.37], [13.0, -1.87]]",13.0,13.0,13.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,73,73,0.7302578818767445,17,12.414383991904655,1,"[[36.5, 36.5], [42.34, 60.59]]","[[36.5, 42.34], [36.5, 60.59]]",60.59,60.59,60.59,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,1,1,0.7471781239241434,9,6.724603115317291,1,"[[0.5, 0.5], [-5.97, -5.72]]","[[0.5, -5.97], [0.5, -5.72]]",0.5,0.5,0.5,"[array([0.5, 0.5]), array([0.5, 0.5]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,27,27,0.45806712812739403,12,5.496805537528728,1,"[[13.5, 13.5], [14.75, 21.5]]","[[13.5, 14.75], [13.5, 21.5]]",21.5,21.5,21.5,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
